# BEAST v1.7.5
# Generated Thu Sep 05 10:55:25 BST 2013 [seed=1]
state	location
0	"Guangdong"
25000	"HongKong"
50000	"Guangdong"
75000	"Guangdong"
100000	"Guangdong"
125000	"Fujian"
150000	"HongKong"
175000	"Guangdong"
200000	"HongKong"
225000	"HongKong"
250000	"HongKong"
275000	"HongKong"
300000	"HongKong"
325000	"HongKong"
350000	"HongKong"
375000	"HongKong"
400000	"HongKong"
425000	"HongKong"
450000	"HongKong"
475000	"HongKong"
500000	"HongKong"
525000	"Guangxi"
550000	"HongKong"
575000	"HongKong"
600000	"HongKong"
625000	"HongKong"
650000	"Guangdong"
675000	"Guangdong"
700000	"Guangdong"
725000	"Guangdong"
750000	"Guangdong"
775000	"Guangdong"
800000	"HongKong"
825000	"HongKong"
850000	"HongKong"
875000	"HongKong"
900000	"Guangxi"
925000	"HongKong"
950000	"HongKong"
975000	"HongKong"
1000000	"Fujian"
1025000	"Guangdong"
1050000	"HongKong"
1075000	"Guangdong"
1100000	"Guangdong"
1125000	"Guangdong"
1150000	"HongKong"
1175000	"HongKong"
1200000	"HongKong"
1225000	"Fujian"
1250000	"HongKong"
1275000	"HongKong"
1300000	"HongKong"
1325000	"HongKong"
1350000	"HongKong"
1375000	"HongKong"
1400000	"HongKong"
1425000	"Guangxi"
1450000	"Guangxi"
1475000	"HongKong"
1500000	"HongKong"
1525000	"Fujian"
1550000	"Guangdong"
1575000	"HongKong"
1600000	"HongKong"
1625000	"HongKong"
1650000	"HongKong"
1675000	"HongKong"
1700000	"HongKong"
1725000	"HongKong"
1750000	"HongKong"
1775000	"HongKong"
1800000	"HongKong"
1825000	"HongKong"
1850000	"HongKong"
1875000	"HongKong"
1900000	"Guangdong"
1925000	"Guangdong"
1950000	"HongKong"
1975000	"Guangdong"
2000000	"HongKong"
2025000	"Guangxi"
2050000	"Guangxi"
2075000	"Fujian"
2100000	"Fujian"
2125000	"Guangdong"
2150000	"Guangdong"
2175000	"Guangdong"
2200000	"Guangdong"
2225000	"HongKong"
2250000	"HongKong"
2275000	"HongKong"
2300000	"HongKong"
2325000	"Fujian"
