# BEAST v1.7.5
# Generated Thu Sep 05 11:02:06 BST 2013 [seed=1]
state	location
0	"Guangdong"
25000	"HongKong"
50000	"Guangdong"
75000	"Guangdong"
100000	"Guangdong"
125000	"Fujian"
150000	"HongKong"
175000	"Guangdong"
200000	"HongKong"
225000	"HongKong"
250000	"HongKong"
275000	"HongKong"
300000	"HongKong"
325000	"HongKong"
350000	"HongKong"
375000	"HongKong"
400000	"HongKong"
425000	"HongKong"
450000	"HongKong"
475000	"HongKong"
500000	"HongKong"
525000	"Guangxi"
550000	"HongKong"
575000	"HongKong"
600000	"HongKong"
625000	"Guangdong"
650000	"HongKong"
675000	"HongKong"
700000	"HongKong"
725000	"HongKong"
750000	"HongKong"
775000	"HongKong"
800000	"HongKong"
825000	"HongKong"
850000	"HongKong"
875000	"Guangdong"
900000	"HongKong"
925000	"HongKong"
950000	"HongKong"
975000	"HongKong"
1000000	"Guangdong"
1025000	"Guangxi"
1050000	"HongKong"
1075000	"HongKong"
1100000	"HongKong"
1125000	"HongKong"
1150000	"Guangdong"
1175000	"HongKong"
1200000	"HongKong"
1225000	"HongKong"
1250000	"Guangxi"
1275000	"Guangxi"
1300000	"HongKong"
1325000	"HongKong"
1350000	"Guangxi"
1375000	"Guangxi"
1400000	"Guangxi"
1425000	"HongKong"
1450000	"Fujian"
1475000	"Guangdong"
1500000	"Guangdong"
1525000	"HongKong"
1550000	"HongKong"
1575000	"Guangdong"
1600000	"Guangdong"
1625000	"HongKong"
1650000	"HongKong"
1675000	"Guangdong"
1700000	"HongKong"
1725000	"HongKong"
1750000	"HongKong"
1775000	"Guangdong"
1800000	"Fujian"
1825000	"HongKong"
1850000	"Guangxi"
1875000	"HongKong"
1900000	"HongKong"
1925000	"HongKong"
1950000	"HongKong"
1975000	"HongKong"
2000000	"Guangdong"
2025000	"HongKong"
2050000	"HongKong"
2075000	"HongKong"
2100000	"Fujian"
2125000	"Guangxi"
2150000	"HongKong"
2175000	"HongKong"
2200000	"HongKong"
2225000	"HongKong"
2250000	"Guangdong"
2275000	"Fujian"
2300000	"Fujian"
2325000	"Fujian"
